iter	Passed	Remaining
401	15067	22413
402	15107	22379
403	15152	22353
404	15195	22323
405	15263	22330
406	15308	22304
407	15354	22278
408	15395	22246
409	15435	22212
410	15473	22175
411	15520	22150
412	15560	22115
413	15599	22080
414	15638	22045
415	15677	22008
416	15720	21978
417	15760	21943
418	15801	21910
419	15841	21876
420	15885	21847
421	15926	21813
422	15964	21776
423	16004	21742
424	16042	21704
425	16083	21671
426	16118	21630
427	16157	21593
428	16195	21555
429	16233	21518
430	16271	21481
431	16312	21447
432	16347	21406
433	16386	21370
434	16429	21339
435	16464	21297
436	16502	21260
437	16540	21223
438	16578	21185
439	16616	21148
440	16657	21114
441	16707	21092
442	16745	21054
443	16781	21014
444	16831	20991
445	16888	20977
446	16928	20942
447	16966	20905
448	17005	20868
449	17047	20836
450	17084	20797
451	17125	20762
452	17163	20724
453	17204	20690
454	17240	20650
455	17280	20614
456	17320	20580
457	17365	20550
458	17404	20513
459	17442	20476
460	17482	20440
461	17520	20402
462	17558	20365
463	17594	20325
464	17634	20288
465	17673	20252
466	17714	20218
467	17752	20180
468	17804	20157
469	17842	20120
470	17886	20088
471	17928	20055
472	17966	20017
473	18009	19984
474	18050	19950
475	18087	19911
476	18125	19873
477	18160	19832
478	18204	19800
479	18245	19765
480	18287	19731
481	18326	19695
482	18368	19661
483	18411	19628
484	18453	19595
485	18492	19557
486	18532	19522
487	18572	19486
488	18615	19453
489	18654	19416
490	18693	19379
491	18732	19341
492	18773	19306
493	18812	19269
494	18848	19228
495	18883	19188
496	18922	19150
497	18960	19112
498	19000	19076
499	19041	19041
500	19081	19005
501	19117	18964
502	19156	18927
503	19194	18889
504	19237	18856
505	19276	18819
506	19316	18783
507	19351	18742
508	19391	18706
509	19429	18667
510	19475	18636
511	19511	18596
512	19551	18560
513	19589	18522
514	19628	18485
515	19663	18443
516	19725	18427
517	19836	18457
518	19934	18474
519	20032	18491
520	20133	18510
521	20240	18534
522	20334	18546
523	20448	18575
524	20544	18587
525	20652	18610
526	20749	18623
527	20855	18643
528	20960	18662
529	21053	18670
530	21145	18676
531	21239	18684
532	21340	18697
533	21448	18717
534	21546	18727
535	21649	18741
536	21747	18750
537	21864	18775
538	21996	18813
539	22103	18828
