iter	Logloss
0	0.6910750954
1	0.6894665451
2	0.6877208492
3	0.68628616
4	0.6850835957
5	0.6834335445
6	0.6820522802
7	0.6808158697
8	0.6798513592
9	0.6785362776
10	0.6779058524
11	0.6766988052
12	0.675579663
13	0.6745395803
14	0.6735927712
15	0.6726502217
16	0.6715273679
17	0.6711216365
18	0.6702064621
19	0.669614176
20	0.6688458434
21	0.6678536303
22	0.6673739245
23	0.6666533788
24	0.6659004522
25	0.6653156925
26	0.6647360391
27	0.6642347956
28	0.6636572765
29	0.6629918073
30	0.662345875
31	0.6620813043
32	0.6617564953
33	0.661353356
34	0.6611168808
35	0.6604264858
36	0.6598954196
37	0.6595125053
38	0.6590185014
39	0.6589193862
40	0.6582861914
41	0.6579697417
42	0.657358282
43	0.6568372662
44	0.6564787909
45	0.6564285149
46	0.6559746278
47	0.6554830684
48	0.6550152343
49	0.6548359174
50	0.6543322235
51	0.6539852789
52	0.6536693572
53	0.6532728298
54	0.6531919823
55	0.652624213
56	0.6520820354
57	0.6517732021
58	0.6514192615
59	0.6511463721
60	0.6511034066
61	0.6508066554
62	0.6504816775
63	0.6502295982
64	0.6499853592
65	0.6495979092
66	0.6492407099
67	0.6490368971
68	0.6488885831
69	0.6485558934
70	0.6482434436
71	0.6480680821
72	0.6478141639
73	0.6477592696
74	0.6474556483
75	0.6471707262
76	0.6468546481
77	0.6466611305
78	0.6461700683
79	0.6459729512
80	0.6456994568
81	0.6454873264
82	0.6452976563
83	0.6449559046
84	0.6445706749
85	0.6442268779
86	0.6440549442
87	0.6439085133
88	0.6436810969
89	0.6436369372
90	0.6435135124
91	0.6432500813
92	0.6430686971
93	0.6429114748
94	0.6427985238
95	0.6427314262
96	0.6424905471
97	0.6423457392
98	0.6420698697
99	0.6419673942
100	0.6417896933
101	0.6416933578
102	0.6415009019
103	0.6412531426
104	0.6410422545
105	0.6410078486
106	0.6407980677
107	0.6404688622
108	0.6402297134
109	0.6399296109
110	0.6397277525
111	0.6395366578
112	0.63922164
113	0.6390912971
114	0.6388503898
115	0.6386524402
116	0.6385496564
117	0.6384715032
118	0.6383132464
119	0.6380900345
120	0.6379400296
121	0.6378405695
122	0.6376121798
123	0.6374006897
124	0.6372019846
125	0.6371130578
126	0.636889558
127	0.636703776
128	0.6365840883
129	0.6365644178
130	0.6362758524
131	0.6361457485
132	0.6359535174
133	0.6357411661
134	0.63571779
135	0.6356935212
136	0.63560583
137	0.6355421337
138	0.6353336667
139	0.6353274332
140	0.6351601653
141	0.634963688
142	0.6349635588
143	0.63491773
144	0.6347223028
145	0.6345105851
146	0.6344060956
147	0.634135753
148	0.6340304017
149	0.6338646361
150	0.6336245622
151	0.6335165654
152	0.6334759128
153	0.6332265207
154	0.633056576
155	0.6330188734
156	0.6326615613
157	0.6324868302
158	0.6323626979
159	0.6323053967
160	0.6320626079
161	0.6318456918
162	0.6317437028
163	0.6316351078
164	0.631576967
165	0.6314160843
166	0.6312095137
167	0.630828431
168	0.6307106907
169	0.6306505594
170	0.6305312726
171	0.6304062523
172	0.6302964805
173	0.6301140992
174	0.6298973151
175	0.6298244199
176	0.6296889276
177	0.6295733441
178	0.6295007362
179	0.6293624554
180	0.6292846238
181	0.6291835029
182	0.6290455121
183	0.6287841627
184	0.6287167538
185	0.6285618755
186	0.6285526684
187	0.628545405
188	0.6282107161
189	0.6282087113
190	0.6282008844
191	0.6281370182
192	0.6278775619
193	0.6276415437
194	0.6275355648
195	0.627462109
196	0.6274599123
197	0.6274334489
198	0.627294783
199	0.6272723649
200	0.6271529095
201	0.6271500319
202	0.6270685136
203	0.626863989
204	0.6267645227
205	0.6266146744
206	0.6264818617
207	0.6263346174
208	0.6262380961
209	0.6261509311
210	0.6261412355
211	0.6260772677
212	0.6260123155
213	0.62587219
214	0.6257161483
215	0.6256718073
216	0.6256716091
217	0.6255999746
218	0.6255393998
219	0.6254630308
220	0.625249849
221	0.6251350074
222	0.6250880806
223	0.6250240646
224	0.6249742828
225	0.6247483989
226	0.6247483981
227	0.6246258569
228	0.6245654658
229	0.6244071905
230	0.6242229748
231	0.6240668459
232	0.6239761021
233	0.6238038788
234	0.6237559129
235	0.6236315774
236	0.6233481534
237	0.6232637714
238	0.6231267345
239	0.6229645124
240	0.622658229
241	0.6224706312
242	0.6222825185
243	0.6222074101
244	0.6219515065
245	0.6219437672
246	0.6218050256
247	0.621647771
248	0.6215154341
249	0.621400424
250	0.621397647
251	0.6212680305
252	0.6211458909
253	0.6209403875
254	0.620828775
255	0.6207778332
256	0.6207292359
257	0.6206679267
258	0.6205983143
259	0.6205261291
260	0.6204540824
261	0.6204049246
262	0.6202840897
263	0.6200028728
264	0.6198792326
265	0.6196958576
266	0.6195425454
267	0.6192900529
268	0.6191513612
269	0.6190047932
270	0.6188832666
271	0.6188217166
272	0.6187479504
273	0.6186717181
274	0.6186659476
275	0.6186133807
276	0.6185740094
277	0.6183215284
