iter	Logloss
278	0.618237109
279	0.6181250405
280	0.6180043296
281	0.6176944007
282	0.6176425148
283	0.6175694901
284	0.6174106703
285	0.6171823179
286	0.6170494257
287	0.6167552315
288	0.6166276724
289	0.6165987877
290	0.6163421472
291	0.6163170932
292	0.6160881052
293	0.6160622071
294	0.6160557578
295	0.6159571673
296	0.6159044271
297	0.6157469198
298	0.6157213444
299	0.6155022774
300	0.6155020553
301	0.6154489309
302	0.6154020577
303	0.6152713209
304	0.6151296884
305	0.6149898997
306	0.6149365158
307	0.6149147597
308	0.614817374
309	0.6148074875
310	0.6147278047
311	0.6146956088
312	0.6146593809
313	0.6143497721
314	0.6142418256
315	0.6141671548
316	0.6140235862
317	0.6137665657
318	0.6134545392
319	0.6134504147
320	0.6132802445
321	0.6132099384
322	0.61314822
323	0.6128266759
324	0.6125535487
325	0.6124275025
326	0.6123144492
327	0.612223203
328	0.6121628176
329	0.6120255952
330	0.6118427648
331	0.6117943306
332	0.6116414989
333	0.6115229863
334	0.6112989447
335	0.6112044847
336	0.6111390764
337	0.6110820451
338	0.6108128753
339	0.610565136
340	0.6104670506
341	0.6101313668
342	0.6100128043
343	0.6099583039
344	0.6099186119
345	0.6096936984
346	0.6094916169
347	0.6091969796
348	0.6089480781
349	0.6086698473
350	0.6085125901
351	0.6082936002
352	0.6080713622
353	0.6079915092
354	0.6078751522
355	0.607741815
356	0.6076785308
357	0.607505931
358	0.6072897009
359	0.6071923502
360	0.6071655768
361	0.6069034539
362	0.6066455769
363	0.606546361
364	0.6064311856
365	0.6063005279
366	0.606179284
367	0.6059433249
368	0.6059197317
369	0.6057977262
370	0.6056928947
371	0.6053953762
372	0.60515306
373	0.6049287481
374	0.6046178054
375	0.6045211293
376	0.604418893
377	0.6042941259
378	0.6040293479
379	0.6040221041
380	0.6039828265
381	0.6039510941
382	0.6039155191
383	0.6036804219
384	0.6036479166
385	0.6034830416
386	0.6032524803
387	0.6032065853
388	0.6031780229
389	0.6029481557
390	0.6028894369
391	0.6027418513
392	0.6026027341
393	0.6024444034
394	0.6023602925
395	0.6022412258
396	0.6020169032
397	0.6019006821
398	0.6017155035
399	0.6015800888
400	0.6015152796
401	0.6014577721
402	0.601427502
403	0.6012878124
404	0.6011099685
405	0.6009431814
406	0.6008000091
407	0.6006263333
408	0.6005757716
409	0.600403007
410	0.6002197698
411	0.6000098119
412	0.5998395596
413	0.5996790237
414	0.5996070597
415	0.5994484472
416	0.5992851144
417	0.5991494081
418	0.5989764783
419	0.5987870727
420	0.5987138576
421	0.5985516881
422	0.5983124989
423	0.598220362
424	0.5981398011
425	0.5980292586
426	0.5979159753
427	0.5979106225
428	0.5976218291
429	0.5973391551
430	0.5972992961
431	0.5971699419
432	0.5971471242
433	0.5971141576
434	0.5969281794
435	0.5967597009
436	0.5966426151
437	0.5965475347
438	0.5965163372
439	0.5964619855
440	0.5963867777
441	0.5962711549
442	0.5960874423
443	0.5959315191
444	0.595675039
445	0.595639965
446	0.5954829293
447	0.5953362577
448	0.5952493584
449	0.5951183526
450	0.5950815567
451	0.5950474119
452	0.5949706896
453	0.5948243238
454	0.5947530282
455	0.5945443061
456	0.5944112757
457	0.5943151853
458	0.594171487
459	0.5939404988
460	0.5938975568
461	0.5937300681
462	0.5935176839
463	0.5933350263
464	0.5932565464
465	0.5931581533
466	0.5930840484
467	0.5929977373
468	0.5928785674
469	0.5928168792
470	0.5926582614
471	0.5926514849
472	0.5925369484
473	0.5923984827
474	0.5923515444
475	0.592339057
476	0.5922490221
477	0.5920738075
478	0.5918604952
479	0.5916237459
480	0.5914566269
481	0.5913290097
482	0.5911433062
483	0.5909944591
484	0.5908998893
485	0.5908057266
486	0.590712123
487	0.5905178897
488	0.5903831143
489	0.5902783357
490	0.5901595759
491	0.5898412261
492	0.5897693618
493	0.5896375644
494	0.5895699365
495	0.5894691997
496	0.5892920288
497	0.5892012697
498	0.5890962236
499	0.5890472183
500	0.5888896593
501	0.5887108601
502	0.5886530931
503	0.5885715366
504	0.5883184248
505	0.5882064972
506	0.5880800817
507	0.5880429678
508	0.5879417816
509	0.5878181915
510	0.5876971575
511	0.5874827501
512	0.5873397549
513	0.5870678041
514	0.5869313409
515	0.5868147932
516	0.5866812965
517	0.5864352802
518	0.5863519776
519	0.5862422018
520	0.586029424
521	0.5859694374
522	0.5859380933
523	0.5857666785
524	0.5855340632
525	0.5852979781
526	0.5851385996
527	0.5849887972
528	0.5849122457
529	0.5847087598
530	0.5846550726
531	0.5844055455
532	0.5843176999
533	0.5841940148
534	0.5841239353
535	0.5840411658
536	0.5839527581
537	0.5838285375
538	0.5837000932
539	0.5834999067
